vars,CPO
elevation_cat,18.1529097672109
improved_water_cat,18.3673528117241
lst_day_cat,17.4359230548672
ndvi_cat,17.3675456335835
open_def_cat,17.8184303177362
prec_cat,17.5949146567927
rel_humidity_cat,17.9915249229007
soil_moisture_cat,18.0462139292956
soil_pH_cat,17.4920965782846
soil_temp_cat,18.4025422374297
"elevation_cat|improved_water_cat",18.304474311084
"elevation_cat|lst_day_cat",18.0941682082979
"elevation_cat|ndvi_cat",18.1817031026318
"elevation_cat|open_def_cat",18.1857900242342
"elevation_cat|prec_cat",18.4217328263332
"elevation_cat|rel_humidity_cat",18.1955373770132
"elevation_cat|soil_moisture_cat",18.3026059986657
"elevation_cat|soil_pH_cat",18.1297757067824
"elevation_cat|soil_temp_cat",18.3170297988568
"improved_water_cat|lst_day_cat",18.4699590675191
"improved_water_cat|ndvi_cat",18.3052575327616
"improved_water_cat|open_def_cat",18.3495125741584
"improved_water_cat|prec_cat",18.6117663539793
"improved_water_cat|rel_humidity_cat",18.2906246572205
"improved_water_cat|soil_moisture_cat",18.3076802715384
"improved_water_cat|soil_pH_cat",18.5010152678097
"improved_water_cat|soil_temp_cat",18.3996877895261
"lst_day_cat|ndvi_cat",17.3013620520198
"lst_day_cat|open_def_cat",17.6801335965375
"lst_day_cat|prec_cat",17.4485966950414
"lst_day_cat|rel_humidity_cat",17.7182676687259
"lst_day_cat|soil_moisture_cat",17.6745609493698
"lst_day_cat|soil_pH_cat",17.4238761145965
"lst_day_cat|soil_temp_cat",18.4051351093209
"ndvi_cat|open_def_cat",17.5845085276337
"ndvi_cat|prec_cat",18.5027334999581
"ndvi_cat|rel_humidity_cat",17.6993050505261
"ndvi_cat|soil_moisture_cat",17.7574809404914
"ndvi_cat|soil_pH_cat",17.4200510307181
"ndvi_cat|soil_temp_cat",18.3600388431852
"open_def_cat|prec_cat",17.8094109422685
"open_def_cat|rel_humidity_cat",18.2889382230811
"open_def_cat|soil_moisture_cat",18.2404520660382
"open_def_cat|soil_pH_cat",17.6583731267874
"open_def_cat|soil_temp_cat",18.4647974301355
"prec_cat|rel_humidity_cat",17.9380638152721
"prec_cat|soil_moisture_cat",18.2588972209283
"prec_cat|soil_pH_cat",18.4609556329244
"prec_cat|soil_temp_cat",18.393083623345
"rel_humidity_cat|soil_moisture_cat",18.2536634508619
"rel_humidity_cat|soil_pH_cat",17.7594215261696
"rel_humidity_cat|soil_temp_cat",18.4272128131451
"soil_moisture_cat|soil_pH_cat",18.2332415900469
"soil_moisture_cat|soil_temp_cat",18.6189480599939
"soil_pH_cat|soil_temp_cat",18.3435634615503
"elevation_cat|improved_water_cat|lst_day_cat",18.4693128763946
"elevation_cat|improved_water_cat|ndvi_cat",18.3603670521166
"elevation_cat|improved_water_cat|open_def_cat",18.4509538312576
"elevation_cat|improved_water_cat|prec_cat",18.5435657818544
"elevation_cat|improved_water_cat|rel_humidity_cat",18.3349690268205
"elevation_cat|improved_water_cat|soil_moisture_cat",18.3673900616827
"elevation_cat|improved_water_cat|soil_pH_cat",18.3915901747145
"elevation_cat|improved_water_cat|soil_temp_cat",18.4276510359336
"elevation_cat|lst_day_cat|ndvi_cat",18.169392286669
"elevation_cat|lst_day_cat|open_def_cat",18.2720286367594
"elevation_cat|lst_day_cat|prec_cat",18.4570077978031
"elevation_cat|lst_day_cat|rel_humidity_cat",18.2669846272901
"elevation_cat|lst_day_cat|soil_moisture_cat",18.4277992836636
"elevation_cat|lst_day_cat|soil_pH_cat",18.2972910905818
"elevation_cat|lst_day_cat|soil_temp_cat",18.4887158331742
"elevation_cat|ndvi_cat|open_def_cat",18.1736057602609
"elevation_cat|ndvi_cat|prec_cat",18.5315013483296
"elevation_cat|ndvi_cat|rel_humidity_cat",18.2332191308143
"elevation_cat|ndvi_cat|soil_moisture_cat",18.3156954704315
"elevation_cat|ndvi_cat|soil_pH_cat",18.2871952065654
elevation_cat,18.1164763337715
improved_water_cat,18.3497932479362
lst_day_cat,17.3534041246316
ndvi_cat,17.2554335293301
open_def_cat,17.6758343346919
prec_cat,17.4830978437984
rel_humidity_cat,17.8165253358787
soil_moisture_cat,18.0011914230114
soil_pH_cat,17.3910213945412
soil_temp_cat,18.3835980600191
elevation_cat|improved_water_cat,18.2970705803663
elevation_cat|lst_day_cat,18.0389576005532
elevation_cat|ndvi_cat,17.9821510514653
elevation_cat|open_def_cat,18.158172025484
elevation_cat|prec_cat,18.3098844024452
elevation_cat|rel_humidity_cat,18.1595350712961
elevation_cat|soil_moisture_cat,18.1738746175723
elevation_cat|soil_pH_cat,18.1191407390701
elevation_cat|soil_temp_cat,18.2850024771224
improved_water_cat|lst_day_cat,18.5235208997348
improved_water_cat|ndvi_cat,18.5032530881229
improved_water_cat|open_def_cat,18.3953128013986
improved_water_cat|prec_cat,18.6057874193439
improved_water_cat|rel_humidity_cat,18.3925569312078
improved_water_cat|soil_moisture_cat,18.3786541151415
improved_water_cat|soil_pH_cat,18.493733372029
improved_water_cat|soil_temp_cat,18.5009778029488
lst_day_cat|ndvi_cat,17.2403045225343
lst_day_cat|open_def_cat,17.6134474773104
lst_day_cat|prec_cat,17.3570073263487
lst_day_cat|rel_humidity_cat,17.6271896558782
lst_day_cat|soil_moisture_cat,17.5830560747444
lst_day_cat|soil_pH_cat,17.330887695743
lst_day_cat|soil_temp_cat,18.2550570585578
ndvi_cat|open_def_cat,18.1760556638219
ndvi_cat|prec_cat,18.4829306175843
ndvi_cat|rel_humidity_cat,17.5955802986142
ndvi_cat|soil_moisture_cat,18.1706261107169
ndvi_cat|soil_pH_cat,18.1591693577686
ndvi_cat|soil_temp_cat,18.3884796091714
open_def_cat|prec_cat,17.7113661019466
open_def_cat|rel_humidity_cat,18.2464335731834
open_def_cat|soil_moisture_cat,18.2312528980384
open_def_cat|soil_pH_cat,17.5838110597355
open_def_cat|soil_temp_cat,18.5205897962924
prec_cat|rel_humidity_cat,17.7658349861277
prec_cat|soil_moisture_cat,18.5006286536447
prec_cat|soil_pH_cat,18.4522039263687
prec_cat|soil_temp_cat,18.3859915317029
rel_humidity_cat|soil_moisture_cat,18.2550090181842
rel_humidity_cat|soil_pH_cat,17.6479422707938
rel_humidity_cat|soil_temp_cat,18.5017687053092
soil_moisture_cat|soil_pH_cat,17.6211442795696
soil_moisture_cat|soil_temp_cat,25.1497482975337
soil_pH_cat|soil_temp_cat,18.337679296636
elevation_cat|improved_water_cat|lst_day_cat,18.4756752415831
elevation_cat|improved_water_cat|ndvi_cat,18.3832590373074
elevation_cat|improved_water_cat|open_def_cat,18.4202951030819
elevation_cat|improved_water_cat|prec_cat,18.5670248665597
elevation_cat|improved_water_cat|rel_humidity_cat,18.3876301684969
elevation_cat|improved_water_cat|soil_moisture_cat,18.4698155330227
elevation_cat|improved_water_cat|soil_pH_cat,18.3915002172357
elevation_cat|improved_water_cat|soil_temp_cat,18.4086874630032
elevation_cat|lst_day_cat|ndvi_cat,18.1366124038938
elevation_cat|lst_day_cat|open_def_cat,18.2554310627922
elevation_cat|lst_day_cat|prec_cat,18.2676951055615
elevation_cat|lst_day_cat|rel_humidity_cat,18.2583850734173
elevation_cat|lst_day_cat|soil_moisture_cat,18.1900138433493
elevation_cat|lst_day_cat|soil_pH_cat,18.3110683571563
elevation_cat|lst_day_cat|soil_temp_cat,18.3664412380477
elevation_cat|ndvi_cat|open_def_cat,18.2946988521807
elevation_cat|ndvi_cat|prec_cat,18.4748354561275
elevation_cat|ndvi_cat|rel_humidity_cat,18.2243690898011
elevation_cat|ndvi_cat|soil_moisture_cat,18.2243151275175
