county,subcounty,ward,school,school_id,lng,lat,n,N,prev
Meru,Buuri,Kibirichia,Murinya,4010111,37.5396963,0.1039491,0,32,0
Meru,Buuri,Kibirichia,Mburugiti,4010112,37.523662,0.097325,0,32,0
Meru,Buuri,Kibirichia,Mck Ntumburi Primary,4010113,37.5111566,0.202818,0,32,0
Meru,Buuri,Kiirua/Naari,Muruguma,4010121,37.569643,0.0903551,0,29,0
Meru,Buuri,Kiirua/Naari,Kiringo,4010122,37.5935247,0.0722464,0,32,0
Meru,Buuri,Kiirua/Naari,Njotene,4010123,37.5967083,0.1670811,0,32,0
Meru,Buuri,Kisima,Ntirimiti,4010131,37.4772943,0.0826317,0,27,0
Meru,Buuri,Kisima,Madaraka,4010132,37.3009906,0.0666677,0,32,0
Meru,Buuri,Kisima,Ndurumuru,4010133,37.3825311,0.1354345,0,32,0
Meru,Buuri,Ruiri/Rwarera,Kanthungu,4010141,37.6567444,0.168658,0,32,0
Meru,Buuri,Ruiri/Rwarera,Mutuuma,4010142,37.6214755,0.1464728,0,32,0
Meru,Buuri,Ruiri/Rwarera,Marere,4010143,37.6139158,0.2274225,0,32,0
Meru,Buuri,Timau,Ontulili Ccm,4010151,37.1407479,0.0298365,0,32,0
Meru,Buuri,Timau,Mutethia Deb,4010152,37.2172015,0.0624838,0,32,0
Meru,Buuri,Timau,Kiranga,4010153,37.1086704,0.0227408,0,32,0
Meru,Central Imenti,Abothuguchi Central,Rware,4010211,37.6804643,-0.0428227,0,32,0
Meru,Central Imenti,Abothuguchi Central,Kirirwa,4010212,37.6953733,-0.0477667,0,32,0
Meru,Central Imenti,Abothuguchi Central,Gitauga,4010213,37.6919246,-0.0403459,0,32,0
Meru,Central Imenti,Abothuguchi West,M.c.k Kibari,4010221,37.6352224,-0.0320728,0,32,0
Meru,Central Imenti,Abothuguchi West,Kaguma,4010222,37.6199839,-0.0206175,0,30,0
Meru,Central Imenti,Abothuguchi West,Deb Kioru,4010223,37.5673417,-0.0279288,0,33,0
Meru,Central Imenti,Abothuguchi West,Kianthumbi,4010224,37.613432,0.0209466,0,32,0
Meru,Central Imenti,Kiagu,Mpindi,4010231,37.7884889,-0.0779633,0,14,0
Meru,Central Imenti,Kiagu,Pcea Gikuuru,4010232,37.8496701,-0.0440454,0,32,0
Meru,Central Imenti,Kiagu,Matetu,4010233,37.7956701,-0.0963383,0,33,0
Meru,Central Imenti,Kiagu,Rikana,4010234,37.8246536,-0.0987445,0,32,0
Meru,Central Imenti,Mwanganthia,Ucheru Ccm,4010241,37.7997735,-0.0208654,0,34,0
Meru,Central Imenti,Mwanganthia,Kiija,4010242,37.7364163,-0.0736014,0,32,0
Meru,Central Imenti,Mwanganthia,Njuthine,4010243,37.8192432,-0.0099003,0,33,0
Meru,Central Imenti,Mwanganthia,Kiamakoro,4010244,37.7074483,-0.0356017,0,32,0
Meru,Igembecentral,Akirang Ondu,Mwerongai,4010311,37.9390987,0.2847428,6,31,19
Meru,Igembecentral,Akirang Ondu,Limbuku,4010312,37.9059906,0.3322826,0,32,0
Meru,Igembecentral,Akirang Ondu,Nyumba Ya Itui,4010313,37.9454061,0.2899393,0,32,0
Meru,Igembecentral,Athiru Ruujine,Athiru Rujine,4010321,37.9663487,0.3018361,1,32,3
Meru,Igembecentral,Athiru Ruujine,Mck Malaene Pry Sch,4010322,38.0945298,0.2922187,1,32,3
Meru,Igembecentral,Athiru Ruujine,Kathithine,4010323,38.1179162,0.263291,0,32,0
Meru,Igembecentral,Igembe East,Kanjoo,4010331,38.0512643,0.228887,0,32,0
Meru,Igembecentral,Igembe East,Kauriene,4010332,37.9767333,0.2592733,0,30,0
Meru,Igembecentral,Igembe East,Miori,4010333,37.9631238,0.2506914,2,30,7
Meru,Igembecentral,Kangeta,Nkinyanga,4010341,37.859332,0.2577228,0,31,0
Meru,Igembecentral,Kangeta,Kiani Kiraja,4010342,37.84336,0.2809126,0,31,0
Meru,Igembecentral,Kangeta,Kani Ka Rui,4010343,37.8891214,0.2493877,4,31,13
Meru,Igembecentral,Njia,Thamare,4010351,37.9253123,0.2837555,5,32,16
Meru,Igembe North,Amwathi,Ngukwine,4010411,38.0232961,0.396166,5,32,16
Meru,Igembe North,Amwathi,Ithata,4010412,38.02586,0.4536928,0,32,0
Meru,Igembe North,Amwathi,Barenta,4010413,37.9908703,0.4005295,18,32,56
Meru,Igembe North,Antuambui,Lubua,4010421,37.9609662,0.34041,1,32,3
Meru,Igembe North,Antuambui,Mwerongundu,4010422,37.938943,0.3492817,5,32,16
Meru,Igembe North,Antuambui,Nkiriana,4010423,37.9452608,0.3562877,3,30,10
Meru,Igembe North,Antubetwe Kiongo,Nairuru,4010431,37.9888846,0.3391676,2,32,6
Meru,Igembe North,Antubetwe Kiongo,Ndoleli,4010432,38.051045,0.3116578,1,32,3
Meru,Igembe North,Antubetwe Kiongo,Karichu,4010433,37.9302789,0.2721073,1,32,3
Meru,Igembe North,Naathu,Mutuati,4010441,37.9133832,0.4685785,13,32,41
Meru,Igembe North,Naathu,Thirua,4010442,37.9442225,0.3956813,0,32,0
Meru,Igembe North,Naathu,Kanthali,4010443,37.9781613,0.3635366,4,32,12
Meru,Igembe North,Ntunene,Mariri,4010451,37.923846,0.3319855,0,28,0
Meru,Igembe North,Ntunene,Kilera,4010452,37.8884212,0.3602834,2,31,6
Meru,Igembe North,Ntunene,Kirindara,4010453,37.9478304,0.3199562,1,23,4
Meru,Igembe South,Akachiu,Athi,4010511,37.9221365,0.1679825,0,32,0
Meru,Igembe South,Akachiu,Amwamba,4010512,37.9325352,0.1942809,1,32,3
Meru,Igembe South,Akachiu,Giika,4010513,37.9719943,0.131662,0,32,0
Meru,Igembe South,Athiru Gaiti,Athiru Gaiti,4010521,37.9743233,0.2097567,0,32,0
Meru,Igembe South,Athiru Gaiti,Nkaria,4010522,38.0070992,0.2228913,0,32,0
Meru,Igembe South,Athiru Gaiti,Kiguma Ciiri,4010523,37.9974598,0.1703048,0,32,0
Meru,Igembe South,Kanuni,Thaicu,4010531,37.9946052,0.1665426,0,32,0
Meru,Igembe South,Kanuni,Athimba,4010532,37.9606546,0.1669941,1,32,3
Meru,Igembe South,Kanuni,Kisimani,4010533,38.0099522,0.0763759,0,32,0
Meru,Igembe South,Kiegoi/ Antubochiu,Auki,4010541,37.9250445,0.2083987,6,32,19
Meru,Igembe South,Kiegoi/ Antubochiu,Itumi,4010542,37.9286056,0.2204346,6,32,19
Meru,Igembe South,Kiegoi/ Antubochiu,Kiegoi,4010543,37.9167273,0.2372866,5,32,16
Meru,Igembe South,Maua,Luluma,4010551,37.9517101,0.2188328,11,32,34
Meru,Igembe South,Maua,Gitura,4010552,37.9599581,0.2224715,6,32,19
Meru,Igembe South,Maua,Maua,4010553,37.9440173,0.229612,3,32,9
Meru,Imenti North,Municipality,Meru Township,4010611,37.6500236,0.0527975,0,32,0
Meru,Imenti North,Municipality,Kinoru,4010612,37.635859,0.0531749,0,30,0
Meru,Imenti North,Municipality,Ccm Gitoro,4010613,37.6346613,0.0605874,0,32,0
Meru,Imenti North,Ntima East,Good Shepherd,4010621,37.6588337,0.049324,0,31,0
Meru,Imenti North,Ntima East,Njukinjiru,4010622,37.6800644,0.0282667,0,32,0
Meru,Imenti North,Ntima East,Mwirine,4010623,37.6618467,0.0556301,0,32,0
