county,subcounty,prev
Kilifi,Kilifi South,2.14634146341463
Kilifi,Malindi,2.06489675516224
Kilifi,Magarini,2.07536865101038
Kilifi,Kilifi North,2.96127562642369
Kilifi,Ganze,0
Kilifi,Rabai,3.37301587301587
Kilifi,Kaloleni,2.38341968911917
Kwale,Lunga Lunga,1.69322709163347
Kwale,Kinango,0.572519083969466
Kwale,Matuga,2.06513105639396
Kwale,Msambweni,10.1570680628272
Lamu,Lamu West,7.97665369649805
Lamu,Lamu East,6.53061224489796
Mombasa,Likoni,4.04440919904837
Mombasa,Mvita,2.27272727272727
Mombasa,Jomvu,0.609756097560976
Mombasa,Nyali,
Mombasa,Kisauni,4.55856895556838
Mombasa,Changamwe,1.10192837465565
Taita Taveta,Taveta,0.954653937947494
Taita Taveta,Mwatate,0.190839694656489
Taita Taveta,Wundanyi,0.673400673400673
Taita Taveta,Voi,0.206753962784287
Tana River,Garsen,14.4412191582003
Tana River,Bura,0.901803607214429
Tana River,Galole,3.4412955465587
Bungoma,Bumula,0.444005920078934
Bungoma,Cheptais,1.06100795755968
Bungoma,Kabuchai,0.166805671392827
Bungoma,Kanduyi,0.257731958762887
Bungoma,Kimilili,0.614574187884109
Bungoma,Mt. Elgon,0.340136054421769
Bungoma,Sirisia,0.111856823266219
Bungoma,Tongaren,0.111856823266219
Bungoma,Webuye East,0.562429696287964
Bungoma,Webuye West,0.583333333333333
Kakamega,Butere,1.12596762843068
Kakamega,Ikilomani,0.528169014084507
Kakamega,Khwisero,1.84372256365233
Kakamega,Likuyani,0
Kakamega,Lugari,0.428921568627451
Kakamega,Lurambi,1.28361858190709
Kakamega,Malava,0.251889168765743
Kakamega,Matungu,0.533333333333333
Kakamega,Mumias Central,1.40721196130167
Kakamega,Mumias East,2.62216924910608
Kakamega,Navakholo,0.200267022696929
Kakamega,Shinyalu,5.25686977299881
Trans  Nzoia,Cherangany,0.406917599186165
Trans  Nzoia,Endebess,0.896860986547085
Trans  Nzoia,Kiminini,0.114942528735632
Trans  Nzoia,Kwanza,0.264550264550265
Trans  Nzoia,Saboti,0.768156424581006
Vihiga,Emuhaya,0.888888888888889
Vihiga,Hamisi,0.624699663623258
Vihiga,Luanda,5.93729152768512
Vihiga,Sabatia,1.26509488211616
Vihiga,Vihiga,1.09519797809604
