school_id,lng,lat,school,county,subcounty,n,N,prev
4010111,37.5396963,0.1039491,Murinya,Meru,Buuri,0,32,0
4010112,37.523662,0.097325,Mburugiti,Meru,Buuri,0,32,0
4010113,37.5111566,0.202818,Mck Ntumburi Primary,Meru,Buuri,0,32,0
4010121,37.569643,0.0903551,Muruguma,Meru,Buuri,0,29,0
4010122,37.5935247,0.0722464,Kiringo,Meru,Buuri,0,32,0
4010123,37.5967083,0.1670811,Njotene,Meru,Buuri,0,32,0
4010131,37.4772943,0.0826317,Ntirimiti,Meru,Buuri,0,27,0
4010132,37.3009906,0.0666677,Madaraka,Meru,Buuri,0,32,0
4010133,37.3825311,0.1354345,Ndurumuru,Meru,Buuri,0,32,0
4010141,37.6567444,0.168658,Kanthungu,Meru,Buuri,0,32,0
4010142,37.6214755,0.1464728,Mutuuma,Meru,Buuri,0,32,0
4010143,37.6139158,0.2274225,Marere,Meru,Buuri,0,32,0
4010151,37.1407479,0.0298365,Ontulili Ccm,Meru,Buuri,0,32,0
4010152,37.2172015,0.0624838,Mutethia Deb,Meru,Buuri,0,32,0
4010153,37.1086704,0.0227408,Kiranga,Meru,Buuri,0,32,0
4010211,37.6804643,-0.0428227,Rware,Meru,Central Imenti,0,32,0
4010212,37.6953733,-0.0477667,Kirirwa,Meru,Central Imenti,0,32,0
4010213,37.6919246,-0.0403459,Gitauga,Meru,Central Imenti,0,32,0
4010221,37.6352224,-0.0320728,M.c.k Kibari,Meru,Central Imenti,0,32,0
4010222,37.6199839,-0.0206175,Kaguma,Meru,Central Imenti,0,30,0
4010223,37.5673417,-0.0279288,Deb Kioru,Meru,Central Imenti,0,33,0
4010224,37.613432,0.0209466,Kianthumbi,Meru,Central Imenti,0,32,0
4010231,37.7884889,-0.0779633,Mpindi,Meru,Central Imenti,0,14,0
4010232,37.8496701,-0.0440454,Pcea Gikuuru,Meru,Central Imenti,0,32,0
4010233,37.7956701,-0.0963383,Matetu,Meru,Central Imenti,0,33,0
4010234,37.8246536,-0.0987445,Rikana,Meru,Central Imenti,0,32,0
4010241,37.7997735,-0.0208654,Ucheru Ccm,Meru,Central Imenti,0,34,0
4010242,37.7364163,-0.0736014,Kiija,Meru,Central Imenti,0,32,0
4010243,37.8192432,-0.0099003,Njuthine,Meru,Central Imenti,0,33,0
4010244,37.7074483,-0.0356017,Kiamakoro,Meru,Central Imenti,0,32,0
4010311,37.9390987,0.2847428,Mwerongai,Meru,Igembecentral,0,31,0
4010312,37.9059906,0.3322826,Limbuku,Meru,Igembecentral,0,32,0
4010313,37.9454061,0.2899393,Nyumba Ya Itui,Meru,Igembecentral,0,32,0
4010321,37.9663487,0.3018361,Athiru Rujine,Meru,Igembecentral,0,32,0
4010322,38.0945298,0.2922187,Mck Malaene Pry Sch,Meru,Igembecentral,0,32,0
4010323,38.1179162,0.263291,Kathithine,Meru,Igembecentral,0,32,0
4010331,38.0512643,0.228887,Kanjoo,Meru,Igembecentral,0,32,0
4010332,37.9767333,0.2592733,Kauriene,Meru,Igembecentral,0,30,0
4010333,37.9631238,0.2506914,Miori,Meru,Igembecentral,1,30,0.0333333333333333
4010341,37.859332,0.2577228,Nkinyanga,Meru,Igembecentral,0,31,0
4010342,37.84336,0.2809126,Kiani Kiraja,Meru,Igembecentral,0,31,0
4010343,37.8891214,0.2493877,Kani Ka Rui,Meru,Igembecentral,3,31,0.0967741935483871
4010351,37.9253123,0.2837555,Thamare,Meru,Igembecentral,0,32,0
4010411,38.0232961,0.396166,Ngukwine,Meru,Igembe North,4,32,0.125
4010412,38.02586,0.4536928,Ithata,Meru,Igembe North,0,32,0
4010413,37.9908703,0.4005295,Barenta,Meru,Igembe North,9,32,0.28125
4010421,37.9609662,0.34041,Lubua,Meru,Igembe North,1,32,0.03125
4010422,37.938943,0.3492817,Mwerongundu,Meru,Igembe North,0,32,0
4010423,37.9452608,0.3562877,Nkiriana,Meru,Igembe North,1,30,0.0333333333333333
4010431,37.9888846,0.3391676,Nairuru,Meru,Igembe North,2,32,0.0625
4010432,38.051045,0.3116578,Ndoleli,Meru,Igembe North,1,32,0.03125
4010433,37.9302789,0.2721073,Karichu,Meru,Igembe North,0,32,0
4010441,37.9133832,0.4685785,Mutuati,Meru,Igembe North,9,32,0.28125
4010442,37.9442225,0.3956813,Thirua,Meru,Igembe North,0,32,0
4010443,37.9781613,0.3635366,Kanthali,Meru,Igembe North,2,32,0.0625
4010451,37.923846,0.3319855,Mariri,Meru,Igembe North,0,28,0
4010452,37.8884212,0.3602834,Kilera,Meru,Igembe North,1,31,0.032258064516129
4010453,37.9478304,0.3199562,Kirindara,Meru,Igembe North,1,23,0.0434782608695652
4010511,37.9221365,0.1679825,Athi,Meru,Igembe South,0,32,0
4010512,37.9325352,0.1942809,Amwamba,Meru,Igembe South,1,32,0.03125
4010513,37.9719943,0.131662,Giika,Meru,Igembe South,0,32,0
4010521,37.9743233,0.2097567,Athiru Gaiti,Meru,Igembe South,0,32,0
4010522,38.0070992,0.2228913,Nkaria,Meru,Igembe South,0,32,0
4010523,37.9974598,0.1703048,Kiguma Ciiri,Meru,Igembe South,0,32,0
4010531,37.9946052,0.1665426,Thaicu,Meru,Igembe South,0,32,0
4010532,37.9606546,0.1669941,Athimba,Meru,Igembe South,0,32,0
4010533,38.0099522,0.0763759,Kisimani,Meru,Igembe South,0,32,0
4010541,37.9250445,0.2083987,Auki,Meru,Igembe South,1,32,0.03125
4010542,37.9286056,0.2204346,Itumi,Meru,Igembe South,1,32,0.03125
4010543,37.9167273,0.2372866,Kiegoi,Meru,Igembe South,0,32,0
4010551,37.9517101,0.2188328,Luluma,Meru,Igembe South,5,32,0.15625
4010552,37.9599581,0.2224715,Gitura,Meru,Igembe South,3,32,0.09375
4010553,37.9440173,0.229612,Maua,Meru,Igembe South,1,32,0.03125
4010611,37.6500236,0.0527975,Meru Township,Meru,Imenti North,0,32,0
4010612,37.635859,0.0531749,Kinoru,Meru,Imenti North,0,30,0
4010613,37.6346613,0.0605874,Ccm Gitoro,Meru,Imenti North,0,32,0
4010621,37.6588337,0.049324,Good Shepherd,Meru,Imenti North,0,31,0
4010622,37.6800644,0.0282667,Njukinjiru,Meru,Imenti North,0,32,0
4010623,37.6618467,0.0556301,Mwirine,Meru,Imenti North,0,32,0
4010631,37.6460532,0.0398674,Irinda C.c.m,Meru,Imenti North,0,32,0
4010632,37.6605996,0.0016276,Mwiramwanki,Meru,Imenti North,0,31,0
4010633,37.6589377,0.010142,Ngonyi,Meru,Imenti North,0,32,0
4010641,37.8281648,0.0028483,Mck Gachua,Meru,Imenti North,0,32,0
4010642,37.7154869,0.0427666,Thuura,Meru,Imenti North,0,30,0
4010643,37.75224,0.0340367,Deb Karirwara,Meru,Imenti North,0,31,0
4010651,37.6909733,0.061705,Kathithi,Meru,Imenti North,0,31,0
4010652,37.6932482,0.071238,Munithu,Meru,Imenti North,0,32,0
4010653,37.6645586,0.1236921,Kithoka Primary School,Meru,Imenti North,0,32,0
4010711,37.6639764,-0.0940228,Lower Chure,Meru,South Imenti,0,32,0
