county,subcounty,n,N,prev
Baringo,Baringo Central,0,450,0
Baringo,Baringo North,0,375,0
Baringo,Baringo South,0,480,0
Baringo,Eldama Ravine,2,445,0.00449438202247191
Baringo,Mogotio,1,450,0.00222222222222222
Bomet,Bomet Central,5,480,0.0104166666666667
Bomet,Bomet East,0,472,0
Bomet,Chepalungu,0,485,0
Bomet,Konoin,66,470,0.140425531914894
Bomet,Sotik,18,490,0.036734693877551
Elgeyo/Marakwet,Keiyo North,0,416,0
Elgeyo/Marakwet,Keiyo South,1,451,0.00221729490022173
Elgeyo/Marakwet,Marakwet East,7,479,0.0146137787056367
Elgeyo/Marakwet,Marakwet West,0,450,0
Embu,Manyatta,1,473,0.00211416490486258
Embu,Mbeere North,2,480,0.00416666666666667
Embu,Mbeere South,0,440,0
Embu,Runyenjes,2,443,0.00451467268623025
Isiolo,Isiolo North,0,465,0
Isiolo,Isiolo South,1,464,0.0021551724137931
Kajiado,Kajiado Central,6,480,0.0125
Kajiado,Kajiado East,0,478,0
Kajiado,Kajiado North,0,348,0
Kajiado,Kajiado South,0,480,0
Kajiado,Kajiado West,30,489,0.0613496932515337
Kericho,Ainamoi,2,389,0.0051413881748072
Kericho,Belgut,13,428,0.0303738317757009
Kericho,Bureti,40,450,0.0888888888888889
Kericho,Kipkelion East,1,453,0.0022075055187638
Kericho,Kipkelion West,1,451,0.00221729490022173
Kericho,Sigowet/Soin,8,420,0.0190476190476191
Kiambu,Gatundu North,1,480,0.00208333333333333
Kiambu,Gatundu South,0,452,0
Kiambu,Githunguri,0,482,0
Kiambu,Juja,1,488,0.00204918032786885
Kiambu,Kabete,2,426,0.00469483568075117
Kiambu,Kiambaa,0,480,0
Kiambu,Kiambu,0,444,0
Kiambu,Kikuyu,0,484,0
Kiambu,Lari,0,483,0
Kiambu,Limuru,0,472,0
Kiambu,Ruiru,0,482,0
Kiambu,Thika Town,6,486,0.0123456790123457
Kirinyaga,Gichugu,2,480,0.00416666666666667
Kirinyaga,Kirinyaga Central,2,482,0.004149377593361
Kirinyaga,Mwea,0,698,0
Kirinyaga,Ndia,0,479,0
Kisii,Bobasi,0,450,0
Kisii,Bomachoge Borabu,1,451,0.00221729490022173
Kisii,Bomachoge Chache,0,450,0
Kisii,Bonchari,0,454,0
Kisii,Kitutu Chache North,0,450,0
Kisii,Kitutu Chache South,2,450,0.00444444444444444
Kisii,Nyaribari Chache,2,450,0.00444444444444444
Kisii,Nyaribari Masaba,0,466,0
Kisii,South Mugirango,5,480,0.0104166666666667
Kitui,Kitui Central,0,418,0
Kitui,Kitui East,0,479,0
Kitui,Kitui Rural,0,332,0
Kitui,Kitui South,1,441,0.00226757369614512
Kitui,Kitui West,0,331,0
Kitui,Mwingi Central,4,469,0.00852878464818763
Kitui,Mwingi Nort,0,390,0
Kitui,Mwingi West,1,354,0.00282485875706215
Laikipia,Laikipia East,0,470,0
Laikipia,Laikipia North,0,480,0
Laikipia,Laikipia West,1,483,0.0020703933747412
Machakos,Kangundo,0,480,0
Machakos,Kathiani,0,480,0
Machakos,Machakos Town,1,610,0.00163934426229508
Machakos,Masinga,1,475,0.00210526315789474
Machakos,Matungulu,0,479,0
Machakos,Mavoko,4,381,0.010498687664042
Machakos,Mwala,1,473,0.00211416490486258
Machakos,Yatta,0,441,0
Makueni,Kaiti,0,354,0
Makueni,Kibwezi East,1,342,0.00292397660818713
Makueni,Kibwezi West,1,524,0.00190839694656489
Makueni,Kilome,0,263,0
Makueni,Makueni,0,610,0
Makueni,Mbooni,3,529,0.0056710775047259
Marsabit,Laisamis,0,467,0
Marsabit,Moyale,0,210,0
Marsabit,North Horr,0,349,0
Marsabit,Saku,7,450,0.0155555555555556
Meru,Buuri,0,472,0
Meru,Central Imenti,0,465,0
Meru,Igembe North,31,464,0.0668103448275862
Meru,Igembe South,12,480,0.025
Meru,Igembecentral,4,408,0.00980392156862745
Meru,Imenti North,0,472,0
Meru,South Imenti,0,416,0
Meru,Tigania East,1,489,0.00204498977505112
Meru,Tigania West,1,456,0.00219298245614035
Murang A,Gatanga,0,482,0
Murang A,Kandara,0,494,0
Murang A,Kangema,1,476,0.00210084033613445
Murang A,Kigumo,1,485,0.00206185567010309
Murang A,Kiharu,0,480,0
Murang A,Maragwa,1,481,0.00207900207900208
Murang A,Mathioya,2,480,0.00416666666666667
Nairobi City,Dagoretti North,0,312,0
Nairobi City,Dagoretti South,1,436,0.00229357798165138
Nairobi City,Embakasi Central,0,467,0
Nairobi City,Embakasi East,0,413,0
Nairobi City,Embakasi North,1,417,0.00239808153477218
