county,subcounty,n,N,prev
Baringo,Baringo Central,0,450,0
Baringo,Baringo North,0,375,0
Baringo,Baringo South,1,480,0.00208333333333333
Baringo,Eldama Ravine,3,445,0.00674157303370787
Baringo,Mogotio,0,450,0
Bomet,Bomet Central,61,480,0.127083333333333
Bomet,Bomet East,16,472,0.0338983050847458
Bomet,Chepalungu,5,485,0.0103092783505155
Bomet,Konoin,37,470,0.0787234042553192
Bomet,Sotik,32,490,0.0653061224489796
Elgeyo/Marakwet,Keiyo North,1,416,0.00240384615384615
Elgeyo/Marakwet,Keiyo South,3,451,0.00665188470066519
Elgeyo/Marakwet,Marakwet East,0,479,0
Elgeyo/Marakwet,Marakwet West,0,450,0
Embu,Manyatta,11,473,0.0232558139534884
Embu,Mbeere North,1,480,0.00208333333333333
Embu,Mbeere South,0,440,0
Embu,Runyenjes,0,443,0
Isiolo,Isiolo North,3,465,0.00645161290322581
Isiolo,Isiolo South,0,464,0
Kajiado,Kajiado Central,2,480,0.00416666666666667
Kajiado,Kajiado East,0,478,0
Kajiado,Kajiado North,0,348,0
Kajiado,Kajiado South,1,480,0.00208333333333333
Kajiado,Kajiado West,0,489,0
Kericho,Ainamoi,12,389,0.0308483290488432
Kericho,Belgut,12,428,0.0280373831775701
Kericho,Bureti,46,450,0.102222222222222
Kericho,Kipkelion East,4,453,0.00883002207505519
Kericho,Kipkelion West,12,451,0.0266075388026608
Kericho,Sigowet/Soin,4,420,0.00952380952380953
Kiambu,Gatundu North,5,480,0.0104166666666667
Kiambu,Gatundu South,1,452,0.00221238938053097
Kiambu,Githunguri,0,481,0
Kiambu,Juja,1,488,0.00204918032786885
Kiambu,Kabete,1,426,0.00234741784037559
Kiambu,Kiambaa,1,480,0.00208333333333333
Kiambu,Kiambu,1,444,0.00225225225225225
Kiambu,Kikuyu,1,484,0.00206611570247934
Kiambu,Lari,4,483,0.0082815734989648
Kiambu,Limuru,0,472,0
Kiambu,Ruiru,0,482,0
Kiambu,Thika Town,1,486,0.00205761316872428
Kirinyaga,Gichugu,1,480,0.00208333333333333
Kirinyaga,Kirinyaga Central,2,482,0.004149377593361
Kirinyaga,Mwea,1,698,0.00143266475644699
Kirinyaga,Ndia,2,479,0.00417536534446764
Kisii,Bobasi,46,450,0.102222222222222
Kisii,Bomachoge Borabu,56,451,0.124168514412417
Kisii,Bomachoge Chache,29,450,0.0644444444444445
Kisii,Bonchari,24,454,0.052863436123348
Kisii,Kitutu Chache North,41,450,0.0911111111111111
Kisii,Kitutu Chache South,25,450,0.0555555555555556
Kisii,Nyaribari Chache,21,450,0.0466666666666667
Kisii,Nyaribari Masaba,30,466,0.0643776824034335
Kisii,South Mugirango,66,480,0.1375
Kitui,Kitui Central,2,418,0.00478468899521531
Kitui,Kitui East,3,479,0.00626304801670146
Kitui,Kitui Rural,0,332,0
Kitui,Kitui South,2,441,0.00453514739229025
Kitui,Kitui West,1,331,0.00302114803625378
Kitui,Mwingi Central,5,469,0.0106609808102345
Kitui,Mwingi Nort,0,390,0
Kitui,Mwingi West,0,354,0
Laikipia,Laikipia East,1,470,0.00212765957446809
Laikipia,Laikipia North,0,480,0
Laikipia,Laikipia West,1,483,0.0020703933747412
Machakos,Kangundo,0,480,0
Machakos,Kathiani,1,480,0.00208333333333333
Machakos,Machakos Town,5,610,0.00819672131147541
Machakos,Masinga,8,475,0.0168421052631579
Machakos,Matungulu,1,479,0.00208768267223382
Machakos,Mavoko,0,381,0
Machakos,Mwala,3,473,0.00634249471458774
Machakos,Yatta,0,441,0
Makueni,Kaiti,8,354,0.0225988700564972
Makueni,Kibwezi East,0,342,0
Makueni,Kibwezi West,5,524,0.00954198473282443
Makueni,Kilome,0,263,0
Makueni,Makueni,7,610,0.0114754098360656
Makueni,Mbooni,5,529,0.00945179584120983
Marsabit,Laisamis,0,467,0
Marsabit,Moyale,1,210,0.00476190476190476
Marsabit,North Horr,0,349,0
Marsabit,Saku,1,450,0.00222222222222222
Meru,Buuri,0,472,0
Meru,Central Imenti,0,465,0
Meru,Igembe North,22,464,0.0474137931034483
Meru,Igembe South,27,480,0.05625
Meru,Igembecentral,15,408,0.0367647058823529
Meru,Imenti North,0,472,0
Meru,South Imenti,1,416,0.00240384615384615
Meru,Tigania East,7,489,0.0143149284253579
Meru,Tigania West,1,456,0.00219298245614035
Murang A,Gatanga,9,482,0.0186721991701245
Murang A,Kandara,7,494,0.01417004048583
Murang A,Kangema,2,476,0.00420168067226891
Murang A,Kigumo,12,485,0.0247422680412371
Murang A,Kiharu,2,480,0.00416666666666667
