n,N,elevation,improved_water,lst_day,ndvi,open_def,prec,rel_humidity,soil_moisture,soil_pH,soil_temp,elevation_cat,improved_water_cat,lst_day_cat,ndvi_cat,open_def_cat,prec_cat,rel_humidity_cat,soil_moisture_cat,soil_pH_cat,soil_temp_cat
0,32,2198.154296875,97.6046905517578,28.9186725616455,0.537607550621033,0.813474893569946,3.66900420188904,81.3319473266602,16.9429836273193,59.5144195556641,19.9211120605469,"(1.84e+03,max]","(95.5,max]","(28.3,31.6]","(0.484,0.613]","(0.723,0.928]","(2.71,3.81]","(72.6,max]","[min,18.2]","(58.3,64.5]","(19.6,21.1]"
0,32,2198.154296875,97.6046905517578,28.9186725616455,0.537607550621033,0.813474893569946,3.66900420188904,81.3319473266602,16.9429836273193,59.5144195556641,19.9211120605469,"(1.84e+03,max]","(95.5,max]","(28.3,31.6]","(0.484,0.613]","(0.723,0.928]","(2.71,3.81]","(72.6,max]","[min,18.2]","(58.3,64.5]","(19.6,21.1]"
0,32,1663.03552246094,94.6398162841797,34.240779876709,0.432940930128098,3.69155263900757,2.82940006256104,63.2286262512207,16.9429836273193,68.0181121826172,19.9211120605469,"(1.56e+03,1.84e+03]","(86.9,95.5]","(31.6,max]","[min,0.484]","(2.19,max]","(2.71,3.81]","(55.7,65.1]","[min,18.2]","(64.5,max]","(19.6,21.1]"
0,29,2032.71850585937,96.4556732177734,27.5203914642334,0.643615126609802,0.733520030975342,3.97409081459045,81.3319473266602,16.9429836273193,57.807243347168,19.9211120605469,"(1.84e+03,max]","(95.5,max]","(26.3,28.3]","(0.613,0.678]","(0.723,0.928]","(3.81,5.14]","(72.6,max]","[min,18.2]","(55.4,58.3]","(19.6,21.1]"
0,32,2058.63134765625,94.5413513183594,26.0664443969727,0.66207879781723,0.624607026576996,4.69847822189331,81.3319473266602,16.9429836273193,54.4096527099609,19.9211120605469,"(1.84e+03,max]","(86.9,95.5]","[min,26.3]","(0.613,0.678]","[min,0.723]","(3.81,5.14]","(72.6,max]","[min,18.2]","[min,55.4]","(19.6,21.1]"
0,32,1690.44665527344,94.9710693359375,29.8640041351318,0.571604549884796,1.57859992980957,3.41198301315308,63.2286262512207,16.9429836273193,59.815315246582,19.9211120605469,"(1.56e+03,1.84e+03]","(86.9,95.5]","(28.3,31.6]","(0.484,0.613]","(0.928,2.19]","(2.71,3.81]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(19.6,21.1]"
0,27,2550.35961914063,88.6874847412109,25.0777740478516,0.648069679737091,1.36222743988037,4.28989315032959,81.3319473266602,19.0577449798584,56.4050025939941,16.3553771972656,"(1.84e+03,max]","(86.9,95.5]","[min,26.3]","(0.613,0.678]","(0.928,2.19]","(3.81,5.14]","(72.6,max]","(18.2,20.3]","(55.4,58.3]","[min,19.6]"
0,32,2506.90307617188,94.1740570068359,27.0667190551758,0.488271176815033,1.24257326126099,3.34517693519592,80.0935134887695,19.0577449798584,60.4223747253418,16.3553771972656,"(1.84e+03,max]","(86.9,95.5]","(26.3,28.3]","(0.484,0.613]","(0.928,2.19]","(2.71,3.81]","(72.6,max]","(18.2,20.3]","(58.3,64.5]","[min,19.6]"
0,32,2102.5703125,76.6353454589844,24.8851165771484,0.631783366203308,4.46866130828857,3.22216272354126,63.2286262512207,19.0577449798584,58.3955879211426,16.3553771972656,"(1.84e+03,max]","(68.5,86.9]","[min,26.3]","(0.613,0.678]","(2.19,max]","(2.71,3.81]","(55.7,65.1]","(18.2,20.3]","(58.3,64.5]","[min,19.6]"
0,32,1482.10705566406,94.2976303100586,30.2394523620606,0.573686361312866,1.92097330093384,3.40748500823975,69.0358505249024,16.9429836273193,58.4170150756836,19.9211120605469,"(1.13e+03,1.56e+03]","(86.9,95.5]","(28.3,31.6]","(0.484,0.613]","(0.928,2.19]","(2.71,3.81]","(65.1,72.6]","[min,18.2]","(58.3,64.5]","(19.6,21.1]"
0,32,1690.44665527344,94.9710693359375,29.8640041351318,0.571604549884796,1.57859992980957,3.41198301315308,63.2286262512207,16.9429836273193,59.815315246582,19.9211120605469,"(1.56e+03,1.84e+03]","(86.9,95.5]","(28.3,31.6]","(0.484,0.613]","(0.928,2.19]","(2.71,3.81]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","(19.6,21.1]"
0,32,1391.0087890625,82.7754364013672,34.726016998291,0.451493948698044,3.86280727386475,3.09240293502808,63.2286262512207,16.9429836273193,67.7071762084961,19.9211120605469,"(1.13e+03,1.56e+03]","(68.5,86.9]","(31.6,max]","[min,0.484]","(2.19,max]","(2.71,3.81]","(55.7,65.1]","[min,18.2]","(64.5,max]","(19.6,21.1]"
0,32,2000.20458984375,97.1777114868164,28.4577732086182,0.540143966674805,0.77011251449585,2.42607998847961,64.1803588867188,17.3361015319824,62.2041740417481,19.2202758789063,"(1.84e+03,max]","(95.5,max]","(28.3,31.6]","(0.484,0.613]","(0.723,0.928]","[min,2.71]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","[min,19.6]"
0,32,2174.9541015625,95.6271286010742,28.2096881866455,0.55413031578064,0.943592667579651,2.52114629745483,80.0935134887695,17.3361015319824,61.5264854431152,19.2202758789063,"(1.84e+03,max]","(95.5,max]","(26.3,28.3]","(0.484,0.613]","(0.928,2.19]","[min,2.71]","(72.6,max]","[min,18.2]","(58.3,64.5]","[min,19.6]"
0,32,2000.20458984375,97.1777114868164,28.4577732086182,0.540143966674805,0.77011251449585,2.42607998847961,64.1803588867188,17.3361015319824,62.2041740417481,19.2202758789063,"(1.84e+03,max]","(95.5,max]","(28.3,31.6]","(0.484,0.613]","(0.723,0.928]","[min,2.71]","(55.7,65.1]","[min,18.2]","(58.3,64.5]","[min,19.6]"
0,32,1488.03454589844,94.0214920043945,24.9958992004395,0.718010604381561,1.23767423629761,4.39737606048584,59.4021797180176,21.7855129241943,55.4062881469727,18.0081787109375,"(1.13e+03,1.56e+03]","(86.9,95.5]","[min,26.3]","(0.678,max]","(0.928,2.19]","(3.81,5.14]","(55.7,65.1]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
0,32,1319.27209472656,89.941520690918,26.8234767913818,0.724581837654114,1.70292532444,4.07649612426758,59.4021797180176,21.7855129241943,56.6003875732422,18.0081787109375,"(1.13e+03,1.56e+03]","(86.9,95.5]","(26.3,28.3]","(0.678,max]","(0.928,2.19]","(3.81,5.14]","(55.7,65.1]","(20.3,23.8]","(55.4,58.3]","[min,19.6]"
