county,subcounty,prev
Kilifi,Kilifi South,2.34146341463415
Kilifi,Malindi,1.08161258603736
Kilifi,Magarini,1.25614418350628
Kilifi,Kilifi North,0.170842824601367
Kilifi,Ganze,0.103305785123967
Kilifi,Rabai,0.694444444444445
Kilifi,Kaloleni,0.414507772020725
Kwale,Lunga Lunga,0.597609561752988
Kwale,Kinango,0.44529262086514
Kwale,Matuga,0.555996822875298
Kwale,Msambweni,1.57068062827225
Lamu,Lamu West,0.12970168612192
Lamu,Lamu East,0
Mombasa,Likoni,0.158604282315623
Mombasa,Mvita,0.162337662337662
Mombasa,Jomvu,0.609756097560976
Mombasa,Nyali,
Mombasa,Kisauni,0.865551067512983
Mombasa,Changamwe,0.183654729109275
Taita Taveta,Taveta,0.0795544948289578
Taita Taveta,Mwatate,0
Taita Taveta,Wundanyi,0.448933782267116
Taita Taveta,Voi,0.0689179875947622
Tana River,Garsen,0.435413642960813
Tana River,Bura,0.901803607214429
Tana River,Galole,0.303643724696356
Bungoma,Bumula,5.77207696102615
Bungoma,Cheptais,18.1255526083112
Bungoma,Kabuchai,4.08673894912427
Bungoma,Kanduyi,4.553264604811
Bungoma,Kimilili,5.26777875329236
Bungoma,Mt. Elgon,8.50340136054422
Bungoma,Sirisia,2.79642058165548
Bungoma,Tongaren,2.29306487695749
Bungoma,Webuye East,5.51181102362205
Bungoma,Webuye West,6.16666666666667
Kakamega,Butere,6.47431386347643
Kakamega,Ikilomani,10.9154929577465
Kakamega,Khwisero,9.657594381036
Kakamega,Likuyani,1.14235500878735
Kakamega,Lugari,1.34803921568627
Kakamega,Lurambi,6.54034229828851
Kakamega,Malava,4.03022670025189
Kakamega,Matungu,8.8
Kakamega,Mumias Central,7.82761653474054
Kakamega,Mumias East,5.84028605482718
Kakamega,Navakholo,6.87583444592791
Kakamega,Shinyalu,8.72162485065711
Trans  Nzoia,Cherangany,3.96744659206511
Trans  Nzoia,Endebess,4.14798206278027
Trans  Nzoia,Kiminini,3.5632183908046
Trans  Nzoia,Kwanza,4.32098765432099
Trans  Nzoia,Saboti,5.65642458100559
Vihiga,Emuhaya,8.44444444444445
Vihiga,Hamisi,7.59250360403652
Vihiga,Luanda,15.5436957971981
Vihiga,Sabatia,8.79815986198965
Vihiga,Vihiga,6.48694187026116
