county,subcounty,n,N,prev
Baringo,Baringo Central,0,450,0
Baringo,Baringo North,0,375,0
Baringo,Baringo South,0,480,0
Baringo,Eldama Ravine,0,445,0
Baringo,Mogotio,0,450,0
Bomet,Bomet Central,1,480,0.00208333333333333
Bomet,Bomet East,0,472,0
Bomet,Chepalungu,0,485,0
Bomet,Konoin,0,470,0
Bomet,Sotik,0,490,0
Elgeyo-Marakwet,Keiyo North,1,416,0.00240384615384615
Elgeyo-Marakwet,Keiyo South,0,451,0
Elgeyo-Marakwet,Marakwet East,0,479,0
Elgeyo-Marakwet,Marakwet West,0,450,0
Embu,Manyatta,0,473,0
Embu,Mbeere North,0,480,0
Embu,Mbeere South,0,440,0
Embu,Runyenjes,0,443,0
Isiolo,Isiolo North,0,465,0
Isiolo,Isiolo South,0,464,0
Kajiado,Kajiado Central,1,480,0.00208333333333333
Kajiado,Kajiado East,0,478,0
Kajiado,Kajiado North,1,348,0.0028735632183908
Kajiado,Kajiado South,0,480,0
Kajiado,Kajiado West,1,489,0.00204498977505112
Kericho,Ainamoi,2,389,0.0051413881748072
Kericho,Belgut,0,428,0
Kericho,Bureti,0,450,0
Kericho,Kipkelion East,0,453,0
Kericho,Kipkelion West,0,451,0
Kericho,Sigowet/Soin,1,420,0.00238095238095238
Kiambu,Gatundu North,0,480,0
Kiambu,Gatundu South,0,452,0
Kiambu,Githunguri,0,482,0
Kiambu,Juja,0,488,0
Kiambu,Kabete,0,426,0
Kiambu,Kiambaa,0,480,0
Kiambu,Kiambu,1,444,0.00225225225225225
Kiambu,Kikuyu,0,484,0
Kiambu,Lari,0,483,0
Kiambu,Limuru,0,472,0
Kiambu,Ruiru,0,482,0
Kiambu,Thika Town,2,486,0.00411522633744856
Kirinyaga,Gichugu,0,480,0
Kirinyaga,Kirinyaga Central,0,482,0
Kirinyaga,Mwea,0,698,0
Kirinyaga,Ndia,1,479,0.00208768267223382
Kisii,Bobasi,0,450,0
Kisii,Bomachoge Borabu,0,451,0
Kisii,Bomachoge Chache,0,450,0
Kisii,Bonchari,1,454,0.00220264317180617
Kisii,Kitutu Chache North,0,450,0
Kisii,Kitutu Chache South,1,450,0.00222222222222222
Kisii,Nyaribari Chache,0,450,0
Kisii,Nyaribari Masaba,0,466,0
Kisii,South Mugirango,13,480,0.0270833333333333
Kitui,Kitui Central,0,418,0
Kitui,Kitui East,2,479,0.00417536534446764
Kitui,Kitui Rural,2,332,0.00602409638554217
Kitui,Kitui South,1,441,0.00226757369614512
Kitui,Kitui West,0,331,0
Kitui,Mwingi Central,0,469,0
Kitui,Mwingi North,0,390,0
Kitui,Mwingi West,0,354,0
Laikipia,Laikipia East,0,470,0
Laikipia,Laikipia North,0,480,0
Laikipia,Laikipia West,1,483,0.0020703933747412
Machakos,Kangundo,0,480,0
Machakos,Kathiani,0,480,0
Machakos,Machakos Town,1,610,0.00163934426229508
Machakos,Masinga,3,475,0.00631578947368421
Machakos,Matungulu,0,479,0
Machakos,Mavoko,2,381,0.005249343832021
Machakos,Mwala,0,473,0
Machakos,Yatta,0,441,0
Makueni,Kaiti,0,354,0
Makueni,Kibwezi East,1,342,0.00292397660818713
Makueni,Kibwezi West,2,524,0.00381679389312977
Makueni,Kilome,2,263,0.00760456273764259
Makueni,Makueni,2,610,0.00327868852459016
Makueni,Mbooni,1,529,0.00189035916824197
Marsabit,Laisamis,1,467,0.00214132762312634
Marsabit,Moyale,0,210,0
Marsabit,North Horr,0,349,0
Marsabit,Saku,0,450,0
Meru,Buuri,0,472,0
Meru,Central Imenti,0,465,0
Meru,Igembe North,3,464,0.00646551724137931
Meru,Igembe South,0,480,0
Meru,Igembe Central,0,408,0
Meru,North Imenti,1,472,0.00211864406779661
Meru,South Imenti,0,416,0
Meru,Tigania East,12,489,0.0245398773006135
Meru,Tigania West,1,456,0.00219298245614035
Murang'a,Gatanga,0,482,0
Murang'a,Kandara,2,494,0.00404858299595142
Murang'a,Kangema,0,476,0
Murang'a,Kigumo,0,485,0
Murang'a,Kiharu,0,480,0
Murang'a,Maragwa,1,481,0.00207900207900208
Murang'a,Mathioya,0,480,0
Nairobi,Dagoretti North,0,312,0
Nairobi,Dagoretti South,1,436,0.00229357798165138
Nairobi,Embakasi Central,0,467,0
Nairobi,Embakasi East,0,413,0
Nairobi,Embakasi North,0,417,0
Nairobi,Embakasi South,1,437,0.0022883295194508
Nairobi,Embakasi West,0,469,0
Nairobi,Kamukunji,5,384,0.0130208333333333
Nairobi,Kasarani,0,438,0
Nairobi,Kibra,0,333,0
Nairobi,Langata,0,87,0
